year,month,Prec,Tmin,Tmax,PDSI
1979,3,42.9,-10.04,-2.88,-2.19
1979,4,27.7,-2.77,2.66,-2.11
1979,5,50.1,2.61,9.33,-2.14
1979,6,90.9,7.76,14.92,-1.48
1979,7,38.9,11.05,16.47,-1.99
1979,8,35.7,13.55,20.61,-3.41
1979,9,105.2,9.6,16.98,-3.58
1979,10,84.3,4.52,11.56,-3.46
1979,11,68.8,-3.88,3.32,-2.89
1979,12,26.9,-6.61,-0.2,-3.41
1980,1,76.5,-12.97,-7.12,-2.17
1980,2,25.3,-15.97,-8.42,-2.3
1980,3,54.9,-9.61,-2.55,-1.62
1980,4,48,-3.44,2.26,-0.97
1980,5,75.8,3.11,10.5,-0.67
1980,6,32.2,8.03,14.69,-1.33
1980,7,68.9,11.51,16.44,-1.6
1980,8,27.9,11.46,16.37,-2.68
1980,9,108.1,9.3,16.32,-2.87
1980,10,149.6,3.3,10.36,-1.19
1980,11,67.9,-2.58,4.48,-1.09
1980,12,77.5,-5.41,0.1,1.77
1981,1,22,-13.29,-7.12,0.83
1981,2,17.4,-14.31,-7.28,-1.28
1981,3,39.8,-10.37,-3.41,-1.18
1981,4,36.2,-1.31,5.12,-1.74
1981,5,101.2,2.58,9.26,1.07
1981,6,38.7,6.64,11.18,0.76
1981,7,111,11.65,16.97,1.4
1981,8,328.9,12.86,18.2,5.55
1981,9,139,8.9,15.72,5.92
1981,10,101.5,3.93,11.02,5.67
1981,11,76.2,-5.35,0.59,5.58
1981,12,52.7,-8.02,-1.44,4.96
1982,1,58.7,-14,-7.52,4.8
1982,2,20,-14.23,-6.32,3.79
1982,3,50.7,-8.31,-1.81,3.7
1982,4,64.4,-2.04,3.79,3.92
1982,5,62.1,3.94,10.69,3.5
1982,6,67.1,6.66,13.36,3.12
1982,7,42.4,11.98,17.61,1.93
1982,8,85.6,14.25,20.2,1.26
1982,9,134.4,9.86,17.59,1.18
1982,10,108.6,3.73,12.36,1.71
1982,11,80.3,-2.51,4.42,1.83
1982,12,53.9,-7.79,-1.54,1.62
1983,1,34.7,-12.7,-6.58,1.08
1983,2,18.8,-15.61,-9.02,-0.55
1983,3,30.5,-10.4,-2.58,-1.15
1983,4,56.5,0.1,7.35,-1.76
1983,5,103.2,3.08,10.16,1.08
1983,6,38.8,5.06,9.02,0.77
1983,7,45.2,9.65,14.71,-0.54
1983,8,60.1,13.39,18.97,-1.4
1983,9,77.3,9.87,15.48,-1.9
1983,10,107.9,2.33,9.33,-1.52
1983,11,70.3,-1.77,4.95,-1.45
1983,12,35.6,-8.91,-2.74,-1.86
1984,1,57,-12.03,-6.35,-1.37
1984,2,17.8,-13.49,-7.12,-1.81
1984,3,29.8,-9.7,-3.48,-1.98
1984,4,33.8,-2.64,3.25,-1.85
1984,5,29.9,3.31,8.96,-2.34
1984,6,66.3,9.36,16.05,-2.32
1984,7,58.9,13.81,19.51,-2.8
1984,8,84.5,13.42,20.44,-3.05
1984,9,98.6,9.43,16.88,-3.23
1984,10,62.4,3.06,10.09,-3.7
1984,11,44.8,-4.91,2.35,-3.79
1984,12,37,-9.71,-3.84,-3.92
1985,1,37.2,-16.79,-9.82,-3.82
1985,2,70.7,-10.97,-5.28,-2.34
1985,3,30.8,-8.47,-1.81,-2.42
1985,4,63.8,-0.77,5.99,-2.28
1985,5,68,3.47,11.37,-2.26
1985,6,58.5,6.2,12.65,-2.16
1985,7,70.5,11.75,17.17,-2.14
1985,8,173.3,14.22,20.23,-0.92
1985,9,100.4,8.56,15.78,-0.65
1985,10,80.1,3.66,10.59,-0.59
1985,11,52.7,-2.91,3.02,-0.8
1985,12,48.4,-11.45,-4.87,-0.9
1986,1,45.4,-15.8,-8.72,-0.85
1986,2,37.3,-15.07,-7.75,-0.74
1986,3,52.7,-10,-2.78,0.37
1986,4,92.5,-1.34,4.82,1.52
1986,5,65.8,3.34,10.46,1.31
1986,6,48.4,6,12.19,0.91
1986,7,40.2,10.42,14.88,-1.04
1986,8,56.2,13.89,19.48,-1.81
1986,9,119.5,10.03,17.35,-1.98
1986,10,29.3,1.73,9.39,-2.91
1986,11,64.2,-4.08,2.12,-3.17
1986,12,33.9,-8.54,-2.2,-3.45
1987,1,43.7,-15.46,-8.29,-3.2
1987,2,60.7,-13.73,-6.62,-2.1
1987,3,36.5,-7.33,-1.75,-2.03
1987,4,42.8,-1.98,4.79,-2.16
1987,5,48.8,3.11,11.56,-2.78
1987,6,20.1,7.5,13.82,-3.85
1987,7,91.6,12.28,17.07,-3.43
1987,8,131.4,12.52,16.74,-2.74
1987,9,193.2,9.23,16.58,2.51
1987,10,65,4.26,11.69,1.7
1987,11,60.8,-4.21,2.85,1.54
1987,12,39.1,-10.35,-3.34,0.93
1988,1,28.8,-13.81,-7.35,-1.34
1988,2,42.8,-14.47,-7.65,-1.01
1988,3,36.2,-8.87,-2.65,-1.05
1988,4,51.5,-1.54,4.75,-1.02
1988,5,49.5,3.11,9.73,-1.3
1988,6,34.5,8.5,13.62,-1.87
1988,7,18.7,9.85,15.07,-3.19
1988,8,67.2,14.19,19.5,-3.42
1988,9,61.2,9.8,16.29,-4.1
1988,10,132.3,4.6,10.99,-3.69
1988,11,136.8,-4.04,2.75,-1.2
1988,12,67.1,-7.91,-1.5,-0.7
1989,1,20.8,-11.2,-4.68,-1.42
1989,2,5,-10.91,-3.61,-2.27
1989,3,38,-5.17,0.19,-2.13
1989,4,62.2,-1.47,4.49,-1.71
1989,5,53.5,2.88,10.09,-1.88
1989,6,32.8,6.23,11.89,-2.4
1989,7,73.8,12.78,18.74,-2.61
1989,8,127,14.55,21.01,-2.49
1989,9,146.9,10.69,16.96,-1.22
1989,10,80.5,3.99,11.46,-1.03
1989,11,74.6,-1.32,4.48,-0.91
1989,12,70.9,-7.78,-0.9,1.29
1990,1,35.4,-15.17,-8.15,0.8
1990,2,27.7,-10.34,-3.92,-0.28
1990,3,22,-6.7,1.12,-1.13
1990,4,76.8,-0.3,6.39,-0.98
1990,5,59.2,4.84,11.66,-1.12
1990,6,96.5,8.5,13.72,0.85
1990,7,56,13.48,19.28,-0.53
1990,8,141.9,14.45,19.64,-0.12
1990,9,98.5,10.53,17.25,0.11
1990,10,49.8,5.8,13.46,-0.65
1990,11,101.1,-0.17,7.35,0.31
1990,12,60.4,-4.47,1.73,0.15
1991,1,42.5,-7.83,-3.25,-0.14
1991,2,23.5,-9.8,-3.35,-0.61
1991,3,48.9,-8.94,-1.81,0.25
1991,4,46.8,-0.47,5.72,-0.82
1991,5,62.5,4.94,11.89,-1.05
1991,6,76.5,9.5,14.69,-0.76
1991,7,88.1,11.28,15.81,0.16
1991,8,57.9,13.42,18.27,-0.79
1991,9,108.5,9.6,16.45,-0.88
1991,10,89.4,5.56,11.96,-0.57
1991,11,47.8,-2.95,3.85,-1
1991,12,44.1,-8.99,-2.24,-1.21
1992,1,26,-12.37,-5.88,-1.72
1992,2,30.3,-11.7,-4.48,-1.73
1992,3,15.1,-7.6,-0.64,-2.37
1992,4,67.7,-1.41,4.62,-1.79
1992,5,63.4,3.64,9.83,-1.53
1992,6,52.1,7.33,12.49,-1.48
1992,7,101.6,12.45,17.27,-1
1992,8,61.4,12.49,18.04,-1.68
1992,9,207.6,8.8,14.62,2.4
1992,10,43.1,3.93,11.53,1.38
1992,11,72.3,-3.35,3.65,1.47
1992,12,51.5,-7.31,-1.7,1.23
1993,1,51.8,-10.36,-4.85,1.24
1993,2,20.2,-11.04,-4.65,0.6
1993,3,28.4,-7.74,-0.91,-1.1
1993,4,79.5,-2.44,2.79,1.22
1993,5,50.2,3.28,9.56,0.84
1993,6,56,6.3,10.59,0.95
1993,7,13.5,11.25,16.21,-1.39
1993,8,153.6,12.32,17.14,-0.85
1993,9,76.1,10.2,16.25,-1.11
1993,10,95.6,4.26,11.49,-0.68
1993,11,74.3,-2.25,3.75,0.21
1993,12,93,-7.45,-1.54,1.59
1994,1,47.8,-14.87,-8.28,1.44
1994,2,56.9,-9.17,-3.92,1.94
1994,3,72.9,-8.04,-1.85,2.75
1994,4,47.9,-1.64,4.46,2.24
1994,5,96.3,4.88,12.16,2.55
1994,6,52.7,7.6,13.72,2.11
1994,7,81.2,12.85,18.11,1.83
1994,8,64.9,15.79,21.91,0.71
1994,9,175,11.86,17.85,1.76
1994,10,63.4,4.76,12.33,0.99
1994,11,51,-2.41,4.99,-1.1
1994,12,59,-9.41,-3.4,-0.86
1995,1,61.7,-11.8,-5.45,0.44
1995,2,24.8,-11.4,-5.08,-0.37
1995,3,40.9,-8.14,-1.21,0
1995,4,60.1,-1.11,4.72,0.05
1995,5,47.8,5.91,12.36,-0.86
1995,6,40,7.76,12.72,-1.4
1995,7,141.1,12.98,18.47,0.73
1995,8,81.6,13.75,18.37,-0.5
1995,9,118.1,9.66,16.79,0.64
1995,10,91.3,5.93,12.83,0.98
1995,11,110.8,-0.78,5.95,1.55
1995,12,41.1,-6.58,-1.27,0.99
1996,1,67.7,-12.1,-5.68,1.52
1996,2,21.5,-13,-5.55,0.89
1996,3,44.2,-8.17,-1.75,0.9
1996,4,25.4,-2.21,3.82,-0.54
1996,5,61.9,2.51,8.33,0.15
1996,6,56.6,7.2,12.49,0.08
1996,7,87.7,12.25,16.54,0.24
1996,8,145.6,12.79,18.51,1.05
1996,9,120.9,10.2,16.69,1.61
1996,10,99.1,4.06,11.49,1.8
1996,11,75.2,-3.41,2.92,1.98
1996,12,61.9,-8.95,-2.44,2
1997,1,48.1,-9.93,-4.55,1.82
1997,2,30.4,-11.27,-4.68,1.44
1997,3,46.7,-9,-1.71,1.48
1997,4,31.4,-1.54,5.16,-0.78
1997,5,72,3.21,9.1,0.27
1997,6,83.5,7.23,11.82,1.13
1997,7,75.6,12.95,18.17,1.09
1997,8,127.2,11.56,16.47,1.46
1997,9,80.3,8.96,16.19,0.96
1997,10,161.2,3.7,11.53,2.86
1997,11,62.8,-0.55,6.65,2.02
1997,12,37.5,-7.45,-1.1,1.31
1998,1,46.2,-14.93,-7.95,1.15
1998,2,18.7,-13.9,-5.82,-1.38
1998,3,56,-7.17,0.19,-0.76
1998,4,53.1,-0.78,6.72,-1.17
1998,5,63.6,4.37,12.83,-1.42
1998,6,11.7,7.63,13.59,-2.57
1998,7,62.3,11.95,16.75,-2.95
1998,8,94,13.25,17.78,-2.98
1998,9,124.9,10.76,17.56,-2.58
1998,10,63.3,5.82,12.66,-2.72
1998,11,78.2,-3.95,2.18,-1.93
1998,12,61.2,-9.39,-2.74,-1.53
1999,1,61.5,-11.43,-5.51,-0.94
1999,2,41,-13.84,-6.32,-0.7
1999,3,45.1,-10.51,-3.15,1.09
1999,4,32.3,-2.08,4.62,-0.48
1999,5,115.8,3.81,9.99,1.87
1999,6,42.4,8.86,15.55,1.05
1999,7,132,12.61,17.51,1.82
1999,8,169.2,15.32,21.34,2.73
1999,9,120.1,11.23,18.58,2.63
1999,10,128.6,4.76,12.33,3.47
1999,11,47.8,-2.68,4.12,2.6
1999,12,49.6,-8.08,-1.57,2.19
2000,1,40.7,-11.77,-5.65,1.78
2000,2,15.4,-13.97,-6.58,0.93
2000,3,56.1,-9.44,-2.71,1.31
2000,4,104.7,-1.74,3.76,2.83
